"No missing
adjustment","Wrong
backdoor set",Method,"Correct
adjustment"
0.2861425697778591,0.42618336903257853,0.42100477845991896,0.42100477846966344
0.2588423718813532,0.43816640744495694,0.3188536241183817,0.318853624126069
0.2957437808656429,0.4279298393909274,,0.3308173645142212
0.3047849366715861,0.4618253157063357,0.38197464279827853,0.3819746427967783
0.306119355649094,0.45928134014458416,0.372884353855257,0.3728843538169105
0.27923642521596204,0.45706492941579363,0.37794841536009494,0.37794841536024976
0.2749280966116725,0.4437537814227871,,0.359997958136683
0.2703125336798169,0.42846931975742747,0.33996119439173955,0.33996119439171024
0.2921419723319574,0.43784961373306014,0.35506477892625676,0.35506477885787374
0.29492786008931215,0.44641061866800197,0.3805747064245826,0.38057470643123364
0.29692925225672373,0.4341301020501095,0.35136662983714007,0.351366629789094
0.29172013964945076,0.4365670424819863,0.3702314143841175,0.3702314143791912
0.2850447901289641,0.4376261548634163,0.354017885359682,0.35401788535972484
0.29466906751754884,0.4239417747410556,0.34349206963451206,0.34349206963562723
0.32291941389288104,0.4387087534343346,0.37665521062333895,0.3766552106233158
0.29351156650820953,0.4275716258272022,0.3269654262771847,0.3269654262769072
0.2817046571125633,0.4483055973937343,0.375489707062858,0.37548970708871127
0.3071184816066439,0.45296111585545734,0.3772587153811445,0.3772587153547771
0.2956498535321701,0.4204076518988649,0.3409781621716761,0.34097816218222726
0.27998450377430784,0.4383572059999189,0.33284813985480227,0.33284813985494627
0.31871025526192576,0.48933351816388193,0.39483818870645143,0.39483818872574605
0.2908341590820738,0.43623134389944335,0.3687153698138657,0.36871536981692143
0.29741525004683944,0.4599954844230051,0.37892922706566734,0.3789292270709447
0.23805995227025345,0.39611917308146266,0.33197434064672193,0.3319743406348229
0.2675585200294168,0.43136579970502387,0.32959692592772205,0.3295969259686068
0.29360066815908914,0.48470968963795635,0.3742712846181969,0.3742712845405095
0.2803180609318654,0.45480872656021654,0.3564775492517903,0.35647754925163105
0.28735113028719006,0.46726991485364994,0.38221675206743827,0.38221675206766936
0.27218628611666174,0.4191910581404646,0.3108389225947532,0.31083892259558843
0.3022598039463332,0.42659419370062257,0.34439500366910375,0.3443950036705551
0.2603911916089452,0.43026446179050665,0.34644913292392027,0.3464491329243631
0.24179024725866738,0.39026609371217463,0.29251870529324464,0.29251870528423696
0.31834664124690937,0.45736352774991323,0.38751098251649657,0.3875109825175548
0.3040605773551718,0.4638951549322199,0.37952587041095276,0.3795258704129067
0.27965217556218724,0.44503851178858334,0.3489698106011876,0.3489698105097947
0.3275838206021633,0.46283825522370375,0.39472693070604775,0.3947269307042768
0.29340164906695343,0.4414223274167116,0.3873954890137065,0.3873954890131537
0.25808312312059245,0.40801225751002684,0.3269282210877237,0.32692822108683495
0.25869409491793594,0.4372057304882902,0.34820959970392773,0.3482095997129209
0.2777081386253992,0.44910861929892415,0.35511991322117886,0.35511991322187436
0.3083543421638042,0.4495574422566695,0.3670349397828416,0.367034939787908
0.31149774502428185,0.42817712417567955,0.36033609563104924,0.3603360956044106
0.32013658728540406,0.4620611816094407,,0.39154488655074754
0.3122181922577305,0.4655982714574933,0.38438252378021315,0.3843825237799389
0.2884902805782028,0.453775197108349,0.368825092559212,0.3688250925450086
0.29915693729044,0.4458639411864872,0.39977040446651907,0.3997704044519215
0.322515829641983,0.5286776835388801,0.4359810391324057,0.43598103908952757
0.2983290739393708,0.4433649068027837,,0.35472189671979637
0.28184342870804535,0.42597342169452096,0.3641939709200714,0.3641939709196362
0.2871694029827059,0.4458275718271447,0.37262588925725243,0.372625889258744
0.3118165330364502,0.47572401459323416,,0.38410111040822864
0.2839292337111411,0.44290954231830976,0.3549678331214804,0.35496783312497665
0.28650183342106816,0.42144142144770425,0.348467041036732,0.3484670410311923
0.28590741168638556,0.46447818638096106,0.383923748325621,0.38392374830430903
0.29966561132168623,0.42530771313173593,0.3532742452679189,0.3532742452765176
0.27342905779224147,0.41866110576952387,0.32317762255682914,0.32317762255051063
0.27837874641827565,0.44609146646072206,0.3533729583752638,0.3533729583795325
0.3064666803934817,0.47741082066967566,0.4112131104431172,0.41121311044163295
0.2818850943747281,0.46717560454425544,0.3749409962088674,0.37494099623842947
0.3204161149446292,0.4435590120851554,0.3955944333518541,0.3955944333520687
0.3020373713675155,0.4549746708375138,,0.3905493731079115
0.27126830055319495,0.462558017535103,,0.3409931029259552
0.25265032197457127,0.40941745285034453,0.2972148513443693,0.297214851343372
0.3071412567396947,0.4435491655679915,0.376999060974529,0.3769990609680874
0.3010644932418274,0.45157978612648475,0.3676602753421595,0.3676602753252149
0.2745551341556004,0.418940876865932,0.3436183391991364,0.34361833919497586
0.2975728275451106,0.44232350852267405,0.36030381989251314,0.3603038199066745
0.27111338906425175,0.4470168334616567,0.3450764958701804,0.3450764958605502
0.2975028435200632,0.46881697357363916,0.40133934330524057,0.40133934340526145
0.2931400962513988,0.4763501428998685,0.39045158545273595,0.39045158548907083
0.3045804424087901,0.44555610445319566,0.3762826988863537,0.3762826988757896
0.28318026317211,0.45498516170023595,0.3833142833962148,0.38331428339897156
0.29590904578573096,0.45197722139080543,,0.35497437024004896
0.2845477006694954,0.43296301450772173,0.34840491578961996,0.3484049156724321
0.29930834650347693,0.4266552543594381,0.33970729666799804,0.33970729665780436
0.31980303140277133,0.4278072711985514,0.3753049401641201,0.37530494016266763
0.28134023934677854,0.4502915581653303,0.3627235560308004,0.36272355599922323
0.2788258094624163,0.4362893508861719,0.34977874988095653,0.3497787498717847
0.30210508988234863,0.44739403656786925,0.36878876355935036,0.3687887635621841
0.27744111759043455,0.45406980609620984,0.3529466461368401,0.35294664611585863
0.2922330372424975,0.4310651313110994,0.3543878637530685,0.35438786378482745
0.27889846478173186,0.4369283015416238,,0.35779941931738696
0.32378500496497187,0.45990966963387814,0.3900802835234767,0.39008028350143087
0.28902641775010474,0.41864769899661985,0.3104827101788251,0.3104827101760283
0.2964712482809264,0.44509329318529517,,0.3600692454469228
0.3127013239758428,0.4892496785909762,0.4022508649278896,0.4022508649265659
0.2794223389050795,0.4222781308037347,,0.3345538098086742
0.30623968333384266,0.4537310936099565,0.3654211132909286,0.3654211132921885
0.2870340417583398,0.4437684754248426,0.3635404613087975,0.36354046128427264
0.3263952352115347,0.42980566103463586,0.3593967205876873,0.35939672060178635
0.3152488205894486,0.44666074742447215,,0.3636492397128032
0.3121228753975811,0.4331284371111663,0.3911386896331318,0.3911386896330368
0.3132517728954355,0.4684428547505469,0.3982238775508113,0.39822387755084593
0.2690635973118688,0.39853456105904395,0.328211328273333,0.32821132829008853
0.2932656637117642,0.44244026361943145,0.3618807303912472,0.36188073036554946
0.29613289506897555,0.42839963351982807,0.34090833214039457,0.3409083321405995
0.28936335447773487,0.413768610907875,0.3138150864961993,0.3138150864974849
0.2977786230719006,0.47163302605411966,0.37493875650414243,0.374938756508212
0.2904562703428264,0.45160091251549034,0.35953038646060337,0.35953038646119123
0.27867551484582564,0.440947385779856,0.33686824882500416,0.3368682488567456
0.3131277465141026,0.43427082120161226,,0.3833358822636167
0.2923596726472163,0.4138638825093319,0.3324468466067442,0.3324468465966712
0.27590982211694637,0.41797416991810393,,0.34210255685654345
0.2959608020328425,0.44644292563765586,,0.3542115157014283
0.2797828225603234,0.414825669942238,0.32846061115893216,0.32846061115743785
0.2588679370807474,0.4432151295126387,0.3439897718490701,0.34398977184898283
0.3138034091343236,0.4610891755420818,0.38649990316789407,0.38649990316741767
0.26042432980184704,0.42532384315243565,0.329544050056476,0.32954405006116416
0.30289032959253004,0.4526166514123011,0.3715861427090063,0.37158614270865953
0.29259742624021146,0.4329801729020417,0.35755918185114144,0.3575591818256564
0.30910858724414136,0.4256291416867414,0.5335177959412856,0.33886149623048223
0.2797467484105459,0.44969946007067135,0.36969898772424176,0.36969898772717774
0.3298029933130163,0.43664068078610907,0.37148601331904696,0.37148601331901665
0.30081395329832716,0.41879883101303556,0.35381050727972446,0.3538105072790724
0.24712519688853862,0.3980090383187599,,0.2694702560864781
0.25794886263726,0.4315545337573524,0.336011790406184,0.3360117903910227
0.27927261726390507,0.39649382613808914,0.3186447109962791,0.31864471098414165
0.2689204693190391,0.4377161073573422,0.5457874757025205,0.3626412675558124
0.2761292056375565,0.46683109552267005,0.3798082224825275,0.3798082224826438
0.28217261709904384,0.44238639615381403,0.3706790848030633,0.3706790848365523
0.29460117607324965,0.45327318424544966,,0.3717959443668547
0.2937792072235995,0.42864718317880635,0.3653312204583124,0.3653312204804792
0.29260992720231793,0.4767833016448537,0.3654834708699075,0.36548347088728317
0.3024075106277583,0.4200223627102725,0.3612938443167647,0.3612938443477764
0.27595214600535745,0.41602703438895594,0.35984496406099875,0.3598449640594643
0.32871789855927136,0.4457061908037667,0.39594514686023424,0.3959451468597248
0.296033643188116,0.4208785819759561,,0.3459357804305867
0.28205635802162,0.42068420568389775,0.34009264802010264,0.34009264802020006
0.28129571526808383,0.4659481982590452,0.3752303675089877,0.3752303674794124
0.2537110328059162,0.4124070743135152,0.28485773618004007,0.28485773617244114
0.2624989256646135,0.44037940520264496,0.34318226137511676,0.3431822613733105
0.2743948591891666,0.4468626475548142,0.35562925376569865,0.35562925376566357
0.2812265177249619,0.4075520672633224,0.32848767341172824,0.32848767340586477
0.322820283494032,0.4577455595599446,0.3817228706473985,0.38172287064715205
0.2865864728499965,0.43479818076438737,0.3377561942283428,0.337756194224409
0.31271121013752434,0.45933419854639684,0.37404701564684784,0.37404701562985865
0.29092470068972,0.4498160667596786,0.3568726291428168,0.35687262914328244
0.294962476141708,0.45294287260995125,0.3602632124233424,0.3602632124247494
0.2866777723041738,0.431676183846853,0.36018682555988674,0.3601868255608167
0.27181739656331916,0.4308442683971691,0.3410017795911819,0.3410017796015529
0.28893053548714176,0.44393030193614746,0.37552612593647333,0.3755261259375
0.28690074039550884,0.43315543753650115,,0.3555890834271201
0.31182263235767615,0.47212112083646357,0.38073586943060056,0.3807358694044343
0.26046662429308765,0.4272452389792894,0.3545201993483936,0.3545201993420568
0.2722153999164757,0.4221304492121758,0.33029888855657336,0.3302988885531996
0.3130339630544239,0.4570555692198186,0.38630385526508565,0.38630385526580263
0.3015314094497449,0.5026621065759397,0.4166213345731499,0.41662133461189266
0.31230926967337547,0.4564920311927314,0.37408178517578244,0.3740817851657693
0.295056982392523,0.44165111454338124,0.3530000306672881,0.3530000306888888
0.297221449000455,0.4469297144497499,0.35637129343438445,0.35637129343354074
0.3044569735730541,0.4449032784885173,0.36344342591348905,0.36344342591330103
0.2826919240335215,0.42311358640482954,,0.32753019464924343
0.29238012008659153,0.43079852900364174,0.3262283005424308,0.32622830054442004
0.26594438028278655,0.44133187803596385,0.3408028220791704,0.3408028220784511
0.29626794432433146,0.42969571880884844,0.35812168635124175,0.3581216863370752
0.29709136974979944,0.4515496568678776,0.35071339946408087,0.35071339946400526
0.2754992575730355,0.4226808409128849,0.3628916373558173,0.36289163735572594
0.2873577812791327,0.440908777449891,0.3672049651372753,0.3672049651385897
0.29562268010936066,0.4743029878852499,0.39801948839951956,0.39801948839763723
0.26906834702899607,0.4334301655516917,0.31832756157908354,0.3183275615510625
0.2852496568348072,0.42507552468338955,0.3290526098850576,0.3290526098820583
0.2670883723047165,0.45257282865890425,0.362580156282608,0.36258015626506346
0.2830662391137302,0.4579133817679805,,0.3940981804290802
0.2702550028754358,0.4382627625696932,0.35166286949682857,0.35166286949687886
0.2790752844991473,0.4606554968711878,0.3540535216330995,0.35405352163418463
0.2992733236030167,0.4569881260445995,,0.3743301050500597
0.29426976848190667,0.4367047285338836,0.35128356462831317,0.35128356463441424
0.27226043236151043,0.4455782911066033,0.3433868798364055,0.34338687983890454
